species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_species0_species3_0, 252.87, 0, 52.52, 63.41, 241.34, 0.69, 252.87, 225.21
Node_species10_species19_0, 194.29, 0, 30.2, 60.66, 187.94, 9.89, 194.29, 157.27
Node_species12_species0_0, 228.53, 0, 32.19, 69.71, 220.33, 8.73, 228.53, 206.29
Node_species12_species16_0, 257.61, 0, 28.23, 61.51, 248.65, 2.91, 257.61, 245.76
Node_species12_species20_0, 47.8, 0, 0.3, 10.33, 47.8, 48.1, 47.8, 47.8
Node_species12_species4_0, 235.3, 0, 51.03, 61.77, 220.8, 1.78, 235.3, 204.88
Node_species12_species7_0, 195.27, 0, 69.63, 86.79, 184.83, 6.42, 195.27, 169.66
Node_species16_species28_0, 123.84, 0, 3.61, 32.56, 122.63, 23.99, 123.84, 89.74
Node_species19_species15_0, 234.01, 0, 30.07, 73.43, 225.74, 12.34, 234.01, 214.1
Node_species20_species21_0, 231.17, 0, 47.79, 86.05, 216.62, 7.1, 231.17, 202.69
Node_species21_species9_0, 246.94, 0, 43.81, 58.99, 236.7, 1.87, 246.94, 207.15
Node_species22_species14_0, 214.07, 0, 44.18, 81.37, 204.6, 8.3, 214.07, 186.36
Node_species22_species24_0, 235.89, 0, 63.26, 77.87, 225.01, 3.31, 235.89, 217
Node_species25_species10_0, 206.73, 0, 80.2, 85.15, 195.7, 5.37, 206.73, 178.3
Node_species26_species18_0, 256.84, 0, 56.82, 69.91, 248.04, 0.82, 256.84, 207.06
Node_species27_species23_0, 222.25, 0, 51.17, 59.42, 210.95, 3.12, 222.25, 204.1
Node_species28_species2_0, 185.01, 0, 15.06, 60.3, 182.34, 27.04, 185.01, 152.97
Node_species3_species1_0, 232.24, 0, 75.5, 83.28, 216.1, 1.92, 232.24, 201.21
Node_species4_species22_0, 206.3, 0, 52.67, 99.93, 199.76, 17.35, 206.3, 181.87
Node_species4_species25_0, 240.13, 0, 54.87, 81.67, 224.54, 8.23, 240.13, 211.93
Node_species4_species6_0, 232.33, 0, 45.18, 72.7, 223.28, 3.65, 232.33, 211.87
Node_species5_species11_0, 228.56, 0, 48.28, 80.45, 216.32, 2.67, 228.56, 210.87
Node_species6_species13_0, 253.18, 0, 28.97, 78.84, 244.44, 13.68, 253.18, 232.83
Node_species6_species27_0, 215.7, 0, 15.58, 65.35, 210.58, 13.82, 215.7, 197.7
Node_species7_species5_0, 258.83, 0, 34.57, 77.55, 251.69, 6.85, 258.83, 237.49
Node_species8_species12_0, 146.17, 0, 7.29, 40.74, 143.51, 13.52, 146.17, 94.1
Node_species8_species17_0, 235.91, 0, 66.29, 73.67, 221.61, 3.31, 235.91, 207.18
Node_species8_species26_0, 231.77, 0, 44.4, 70.65, 223.7, 3.74, 231.77, 209.3
species0, 288, 0, 34.27, 68.29, 288, 0.29, 288, 288
species1, 288, 0, 68.6, 113.61, 288, 1.12, 288, 288
species10, 288, 0, 43.08, 85.77, 288, 0.51, 288, 288
species11, 288, 0, 50.08, 87.8, 288, 1.02, 288, 288
species12, 288, 0, 38.99, 93.56, 288, 0.68, 288, 288
species13, 288, 0, 40.16, 73.61, 288, 0.75, 288, 288
species14, 288, 0, 16.19, 75.82, 288, 2.4, 288, 288
species15, 288, 0, 29.54, 76.77, 288, 1.09, 288, 288
species16, 288, 0, 56.17, 77.38, 288, 0.73, 288, 288
species17, 288, 0, 30.6, 93.74, 288, 1.75, 288, 288
species18, 288, 0, 36.91, 77.24, 288, 0.37, 288, 288
species19, 288, 0, 48.4, 92.7, 288, 1.52, 288, 288
species2, 288, 0, 24.86, 73.39, 288, 1.94, 288, 288
species20, 288, 0, 43.52, 89.23, 288, 0.79, 288, 288
species21, 288, 0, 53.24, 96.17, 288, 0.34, 288, 288
species22, 288, 0, 53.71, 87.85, 288, 1.44, 288, 288
species23, 288, 0, 38.73, 78.27, 288, 0.27, 288, 288
species24, 288, 0, 42.45, 74.91, 288, 0.65, 288, 288
species25, 288, 0, 44.19, 83.93, 288, 0.66, 288, 288
species26, 288, 0, 37.36, 71.18, 288, 0.52, 288, 288
species27, 288, 0, 53.12, 100.75, 288, 0.61, 288, 288
species28, 288, 0, 62.31, 117.99, 288, 1.38, 288, 288
species3, 288, 0, 43.98, 82.69, 288, 0.77, 288, 288
species4, 288, 0, 19.58, 79.55, 288, 1.67, 288, 288
species5, 288, 0, 35.24, 88.74, 288, 1.02, 288, 288
species6, 288, 0, 33.65, 59.68, 288, 0.61, 288, 288
species7, 288, 0, 28.69, 63.56, 288, 0.46, 288, 288
species8, 288, 0, 41.96, 94.26, 288, 0.77, 288, 288
species9, 288, 0, 39.64, 94.85, 288, 1.35, 288, 288
