species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_species0_species3_0, 0.97, 0, 0.14, 0.25, 0.95, 0, 0.97, 0.71
Node_species10_species19_0, 0.65, 0, 0.23, 0.4, 0.65, 0, 0.65, 0.36
Node_species12_species0_0, 0.53, 0, 0.05, 0.29, 0.53, 0.12, 0.53, 0.51
Node_species12_species16_0, 0.97, 0, 0.05, 0.04, 0.95, 0, 0.97, 0.96
Node_species12_species20_0, 0.13, 0, 0.01, 0.01, 0.13, 0.14, 0.13, 0.13
Node_species12_species4_0, 0.83, 0, 0.08, 0.2, 0.78, 0.01, 0.83, 0.62
Node_species12_species7_0, 0.39, 0, 0.1, 0.21, 0.33, 0.02, 0.39, 0.37
Node_species16_species28_0, 0.25, 0, 0, 0.05, 0.24, 0.04, 0.25, 0.25
Node_species19_species15_0, 0.85, 0, 0.04, 0.19, 0.81, 0.01, 0.85, 0.83
Node_species20_species21_0, 0.95, 0, 0.08, 0.74, 0.78, 0, 0.95, 0.85
Node_species21_species9_0, 0.77, 0, 0.26, 0.35, 0.77, 0.04, 0.77, 0.51
Node_species22_species14_0, 0.72, 0, 0.09, 0.53, 0.67, 0, 0.72, 0.68
Node_species22_species24_0, 0.23, 0, 0.92, 0.12, 0.23, 0.01, 0.23, 0.11
Node_species25_species10_0, 0.3, 0, 0.2, 0.11, 0.27, 0.02, 0.3, 0.2
Node_species26_species18_0, 0.89, 0, 0.1, 0.15, 0.78, 0, 0.89, 0.84
Node_species27_species23_0, 0.53, 0, 0.19, 0.07, 0.5, 0.01, 0.53, 0.48
Node_species28_species2_0, 0.55, 0, 0.07, 0.2, 0.55, 0.18, 0.55, 0.44
Node_species3_species1_0, 1.08, 0, 0.12, 0.31, 0.96, 0.02, 1.08, 0.99
Node_species4_species22_0, 0.39, 0, 0.2, 0.31, 0.37, 0.03, 0.39, 0.28
Node_species4_species25_0, 0.96, 0, 0.19, 0.69, 0.81, 0, 0.96, 0.92
Node_species4_species6_0, 0.56, 0, 0.2, 0.18, 0.47, 0, 0.56, 0.56
Node_species5_species11_0, 0.31, 0, 0.09, 0.15, 0.31, 0, 0.31, 0.3
Node_species6_species13_0, 0.56, 0, 0.43, 0.34, 0.51, 0, 0.56, 0.53
Node_species6_species27_0, 0.79, 0, 0.06, 0.23, 0.78, 0.1, 0.79, 0.63
Node_species7_species5_0, 0.96, 0, 0.12, 0.29, 0.94, 0.03, 0.96, 0.58
Node_species8_species12_0, 0.32, 0, 0.06, 0.19, 0.28, 0.02, 0.32, 0.28
Node_species8_species17_0, 0.91, 0, 0.24, 0.15, 0.87, 0, 0.91, 0.86
Node_species8_species26_0, 0.59, 0, 0.04, 0.07, 0.58, 0.05, 0.59, 0.58
species0, 1, 0, 0.1, 0.92, 1, 0.01, 1, 1
species1, 1, 0, 0.13, 0.3, 1, 0.01, 1, 1
species10, 1, 0, 0.03, 0.68, 1, 0, 1, 1
species11, 1, 0, 0.14, 0.7, 1, 0.02, 1, 1
species12, 1, 0, 0.03, 0.45, 1, 0.01, 1, 1
species13, 1, 0, 0.44, 0.65, 1, 0.01, 1, 1
species14, 1, 0, 0.1, 0.31, 1, 0.04, 1, 1
species15, 1, 0, 0.17, 0.88, 1, 0, 1, 1
species16, 1, 0, 0.06, 0.6, 1, 0, 1, 1
species17, 1, 0, 0.02, 0.4, 1, 0, 1, 1
species18, 1, 0, 0.76, 0.54, 1, 0.01, 1, 1
species19, 1, 0, 0.27, 0.77, 1, 0, 1, 1
species2, 1, 0, 0.05, 0.74, 1, 0.01, 1, 1
species20, 1, 0, 0.13, 0.42, 1, 0.01, 1, 1
species21, 1, 0, 0.05, 0.88, 1, 0, 1, 1
species22, 1, 0, 0.57, 0.44, 1, 0.01, 1, 1
species23, 1, 0, 0.13, 0.19, 1, 0, 1, 1
species24, 1, 0, 0.05, 0.27, 1, 0, 1, 1
species25, 1, 0, 0.12, 0.14, 1, 0, 1, 1
species26, 1, 0, 0.4, 0.23, 1, 0, 1, 1
species27, 1, 0, 0.03, 0.15, 1, 0, 1, 1
species28, 1, 0, 0.72, 0.43, 1, 0, 1, 1
species3, 1, 0, 0.04, 0.32, 1, 0, 1, 1
species4, 1, 0, 0.19, 0.66, 1, 0.01, 1, 1
species5, 1, 0, 0.05, 0.06, 1, 0, 1, 1
species6, 1, 0, 0.05, 0.04, 1, 0, 1, 1
species7, 1, 0, 0.07, 0.09, 1, 0, 1, 1
species8, 1, 0, 0.11, 0.2, 1, 0, 1, 1
species9, 1, 0, 0.13, 0.28, 1, 0, 1, 1
