Node	X
origin	0
n0	0
n1	1
n2	0
n3	0
n4	0
n5	1
n6	0
n7	0
n8	0
n9	0
n10	0
n11	1
n12	1
n13	0
n14	1
n15	0
n16	0
n17	0
n18	1
n19	0
n20	0
n21	1
n22	1
n23	0
n24	1
n25	1
n26	1
n27	0
n28	1
n29	1
n30	1
n31	0
n32	0
n33	1
n34	0
n35	0
n36	0
n37	0
n38	0
n39	1
n40	0
n41	1
n42	0
n43	1
n44	0
n45	0
n46	0
n47	1
n48	1
n49	1
n50	1
n51	0
n52	0
n53	1
n54	1
n55	1
n56	1
n57	1
n58	1
n59	1
n60	0
n61	1
n62	1
n63	1
n64	0
n65	0
n66	1
n67	0
n68	0
n69	0
n70	0
n71	1
n72	0
n73	0
n74	1
n75	1
n76	1
n77	0
n78	0
n79	1
n80	1
n81	0
n82	0
n83	1
n84	0
n85	1
n86	1
n87	0
n88	0
n89	0
n90	0
n91	0
n92	0
n93	1
n94	1
n95	1
n96	1
n97	1
n98	1
n99	0
n100	1
n101	0
n102	1
n103	0
n104	0
n105	1
n106	1
n107	1
n108	1
n109	0
n110	1
n111	0
n112	0
n113	0
n114	1
n115	0
n116	0
n117	1
n118	1
n119	1
n120	1
n121	1
n122	1
n123	0
n124	0
n125	1
n126	1
n127	0
n128	0
n129	1
n130	1
n131	0
n132	0
n133	0
n134	0
n135	1
n136	1
n137	1
n138	1
n139	1
n140	1
n141	1
n142	1
n143	0
n144	0
n145	1
n146	1
n147	1
n148	1
n149	1
n150	1
n151	1
n152	1
n153	1
n154	1
n155	0
n156	1
n157	1
n158	1
n159	1
n160	1
n161	0
n162	0
n163	0
n164	0
n165	0
n166	0
n167	0
n168	1
n169	0
n170	0
n171	0
n172	0
n173	0
n174	1
n175	1
n176	1
n177	1
n178	0
n179	1
n180	0
n181	1
n182	0
n183	1
n184	1
n185	0
n186	0
n187	1
n188	1
n189	1
n190	1
n191	1
n192	1
n193	0
n194	0
n195	0
n196	0
n197	0
n198	0
