TIME	EVENT	NODES
2.531243439859664	L	77_30
2.531897853857944	L	14_46
2.531897853857944	AT	n16;14_35;n16;14_50;n19;14_51
2.5510398739623943	AT	n9;97_14;n9;97_38;n19;97_39
2.55330757845165	LT	n19;100_38;n19;100_40;n17;100_41
2.564610647751362	L	70_22
2.564610647751362	AT	n18;70_21;n18;70_24;n19;70_25
2.566308782747152	D	84_22;84_24;84_25
2.648893979938104	LT	n19;13_24;n19;13_26;n1;13_27
2.6530459244737163	L	68_20
2.6775838478971465	LT	n19;37_46;n19;37_48;n15;37_49
2.7109285001777987	L	30_36
2.7109285001777987	AT	n9;30_28;n9;30_44;n19;30_45
2.713252357557544	L	59_24
2.713252357557544	AT	n17;59_20;n17;59_32;n19;59_33
2.7507017093412602	L	58_20
2.7507017093412602	AT	n22;58_23;n22;58_24;n19;58_25
2.7729943658194087	L	93_22
2.7729943658194087	AT	n18;93_21;n18;93_28;n19;93_29
2.8081859172965546	L	26_28
2.8081859172965546	AT	n10;26_17;n10;26_38;n19;26_39
2.8438875395807792	LT	n19;30_38;n19;30_52;n15;30_53
2.8767161927543508	AT	n9;109_17;n9;109_20;n19;109_21
2.9017915089468165	L	57_30
2.951722045906211	L	60_22
2.951722045906211	AT	n28;60_29;n28;60_34;n19;60_35
3.043347069851965	LT	n19;41_20;n19;41_42;n17;41_43
3.0645229798013123	L	59_33
3.0645229798013123	AT	n34;59_45;n34;59_50;n19;59_51
3.0662761953993116	D	62_24;62_46;62_47
3.0867932219050696	LT	n19;110_12;n19;110_22;n10;110_23
3.097739014030459	AT	n20;49_23;n20;49_46;n19;49_47
3.109784760058781	AT	n10;26_38;n10;26_54;n19;26_55
3.1177670027189257	AT	n36;42_39;n36;42_42;n19;42_43
