TIME	EVENT	NODES
0	O	Root
0.5651162994026079	S	Root;1;n1;2;n2;3
0.7311897474204636	L	n2;3
0.7311897474204636	T	n1;2;n1;4;n2;5
0.8705487089928268	S	n2;5;n3;6;n4;7
0.9136120164185375	S	n3;6;n5;8;n6;9
1.3108047834905523	T	n4;7;n4;10;n6;11
1.8813788388702282	S	n6;9;n7;12;n8;13
1.8813788388702282	S	n6;11;n7;14;n8;15
1.911993857028475	S	n7;12;n9;16;n10;17
1.911993857028475	S	n7;14;n9;18;n10;19
1.923694679252978	S	n8;13;n11;20;n12;21
1.923694679252978	S	n8;15;n11;22;n12;23
1.9854867880629592	S	n11;20;n13;24;n14;25
1.9854867880629592	S	n11;22;n13;26;n14;27
2.134067207386724	T	n13;24;n13;28;n12;29
2.225668125700548	S	n13;28;n15;30;n16;31
2.225668125700548	S	n13;26;n15;32;n16;33
2.2290667213344735	T	n12;29;n12;34;n14;35
2.406050370324076	S	n5;8;n17;36;n18;37
2.4882224877019574	D	n16;33;n16;38;n16;39
2.502910948502324	S	n14;35;n19;40;n20;41
2.502910948502324	S	n14;25;n19;42;n20;43
2.502910948502324	S	n14;27;n19;44;n20;45
2.545958125666982	L	n16;39
2.545958125666982	T	n12;34;n12;46;n16;47
2.692185102669776	S	n1;4;n21;48;n22;49
2.7698813560621547	D	n12;21;n12;50;n12;51
2.7738261554119075	S	n4;10;n23;52;n24;53
2.7909555608888947	S	n21;48;n25;54;n26;55
2.8227309508841887	P	n16;38
2.9028419465601423	S	n15;30;n27;56;n28;57
2.9028419465601423	S	n15;32;n27;58;n28;59
2.9102591985123394	S	n22;49;n29;60;n30;61
2.9411721024977977	S	n9;16;n31;62;n32;63
2.9411721024977977	S	n9;18;n31;64;n32;65
2.9729747093130627	S	n28;57;n33;66;n34;67
2.9729747093130627	S	n28;59;n33;68;n34;69
3.0250122621232984	S	n18;37;n35;70;n36;71
3.0645693707283965	S	n32;63;n37;72;n38;73
3.0645693707283965	S	n32;65;n37;74;n38;75
3.0675799618196673	D	n33;68;n33;76;n33;77
3.0842688032848153	P	n12;23
3.146229668452691	F	n17;36
3.146229668452691	F	n16;38
3.146229668452691	F	n16;31
3.146229668452691	F	n16;47
3.146229668452691	F	n24;53
3.146229668452691	F	n20;41
3.146229668452691	F	n20;43
3.146229668452691	F	n20;45
3.146229668452691	F	n30;61
3.146229668452691	F	n35;70
3.146229668452691	F	n10;17
3.146229668452691	F	n10;19
3.146229668452691	F	n34;67
3.146229668452691	F	n34;69
3.146229668452691	F	n37;72
3.146229668452691	F	n37;74
3.146229668452691	F	n31;62
3.146229668452691	F	n31;64
3.146229668452691	F	n19;40
3.146229668452691	F	n19;42
3.146229668452691	F	n19;44
3.146229668452691	F	n38;73
3.146229668452691	F	n38;75
3.146229668452691	F	n36;71
3.146229668452691	F	n26;55
3.146229668452691	F	n29;60
3.146229668452691	F	n27;56
3.146229668452691	F	n27;58
3.146229668452691	F	n12;23
3.146229668452691	F	n12;50
3.146229668452691	F	n12;51
3.146229668452691	F	n12;46
3.146229668452691	F	n23;52
3.146229668452691	F	n25;54
3.146229668452691	F	n33;66
3.146229668452691	F	n33;76
3.146229668452691	F	n33;77
