POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	3	+	24
1	104	-	2
2	4	-	28
3	4	-	30
4	5	-	10
5	9	-	28
6	2	-	30
7	2	-	32
8	12	+	4
9	13	+	28
10	6	-	22
11	7	-	34
12	8	-	22
13	14	-	54
14	14	-	56
15	15	+	26
16	16	-	28
17	17	-	24
18	18	+	38
19	19	-	46
20	11	-	30
21	11	-	32
22	21	+	32
23	22	+	24
24	22	+	26
25	24	-	24
26	25	-	24
27	26	+	30
28	27	-	8
29	69	+	38
30	28	-	30
31	28	-	32
32	17	-	26
33	29	+	24
34	30	+	42
35	31	-	22
36	32	-	24
37	33	-	24
38	34	+	28
39	81	+	4
40	82	+	24
41	7	-	36
42	83	+	26
43	84	+	28
44	85	-	33
45	34	+	30
46	35	+	36
47	36	+	42
48	37	-	50
49	37	-	52
50	13	+	30
51	38	-	26
52	39	-	38
53	40	+	24
54	41	+	24
55	43	+	26
56	43	+	28
57	45	+	22
58	46	+	26
59	47	-	22
60	101	-	22
61	49	+	26
62	50	+	28
63	51	-	22
64	52	-	22
65	53	+	26
66	48	+	46
67	55	+	22
68	56	-	48
69	90	-	28
70	57	+	32
71	58	+	22
72	36	+	44
73	59	+	30
74	61	+	22
75	111	+	2
76	62	-	26
77	63	-	22
78	64	-	22
79	65	-	22
80	15	+	28
81	66	-	24
82	67	-	26
83	69	+	40
84	69	+	42
85	70	-	26
86	71	+	28
87	72	+	30
88	73	+	22
89	87	+	26
90	74	-	24
91	75	-	22
92	77	-	32
93	78	-	22
94	80	+	24
95	86	+	22
96	87	+	28
97	88	+	24
98	89	+	54
99	103	-	24
100	90	-	30
101	93	+	26
102	94	-	22
103	106	-	2
104	83	+	28
105	95	+	22
106	96	+	30
107	97	+	40
108	98	-	22
109	99	-	30
110	100	+	42
