GENOME	Initial	Root	n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13	n14	n15	n16	n17	n18	n19	n20	n21	n22	n23	n24	n25	n26	n27	n28	n29	n30	n31	n32	n33	n34	n35	n36	n37	n38
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	2	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	1	1	1	0	2	2	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1
3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1
4	1	1	2	1	1	1	0	1	1	1	1	1	1	1	1	2	1	1	0	0	2	2	2	2	1	1	2	2	1	1	2	2	1	1	1	1	0	0	1	1
5	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	2	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0
6	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
7	1	1	2	1	1	1	2	1	1	1	1	2	1	2	1	1	1	2	2	2	1	1	2	2	1	1	1	2	1	1	2	2	1	1	1	1	2	2	1	1
8	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
10	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	2	1	1	1	1	1	0	1	1	1	0	0	2	2	1	1	1	1	2	2	1	1	1	1
11	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	2	3	1	1	1	1	1	1	1	1
12	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0
13	1	1	2	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	1	1	2	2	2	2	1	1	1	1	2	2
14	1	1	2	2	2	2	3	2	2	2	2	2	2	2	2	2	3	2	3	4	2	2	2	2	2	3	2	2	4	3	2	2	2	2	3	3	4	4	2	2
15	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1
16	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	1	1	2	2	1	1	1	1	2	2	1	1	1	1
17	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	2	0	0	2	2	2	2	2	2	1	1	2	2	1	1	1	1
18	1	1	1	1	1	0	2	2	2	2	1	2	2	2	1	2	1	1	2	2	2	2	1	1	0	0	1	1	1	1	1	1	1	1	1	1	2	2	1	1
19	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	1	0	2	2	1	1	2	2	2	2	2	2	2	2
20	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1
21	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1
22	1	1	2	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	1	2	3	1	1	1	1	1	1	1	1
23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
