TIME	EVENT	NODES
0	O	1_Root
0	O	2_Root
0	O	3_Root
0	O	4_Root
0	O	5_Root
0	O	6_Root
0	O	7_Root
0	O	8_Root
0	O	9_Root
0	O	10_Root
0	O	11_Root
0	O	12_Root
0	O	13_Root
0	O	14_Root
0	O	15_Root
0	O	16_Root
0	O	17_Root
0	O	18_Root
0	O	19_Root
0	O	20_Root
0	O	21_Root
0	O	22_Root
0	O	23_Root
0	O	24_Root
0	O	25_Root
0	O	26_Root
0	O	27_Root
0	O	28_Root
0	O	29_Root
0	O	30_Root
0	O	31_Root
0	O	32_Root
0	O	33_Root
0	O	34_Root
0	O	35_Root
0	O	36_Root
0	O	37_Root
0	O	38_Root
0	O	39_Root
0	O	40_Root
0	O	41_Root
0	O	42_Root
0	O	43_Root
0	O	44_Root
0	O	45_Root
0	O	46_Root
0	O	47_Root
0	O	48_Root
0	O	49_Root
0	O	50_Root
0	O	51_Root
0	O	52_Root
0	O	53_Root
0	O	54_Root
0	O	55_Root
0	O	56_Root
0	O	57_Root
0	O	58_Root
0	O	59_Root
0	O	60_Root
0	O	61_Root
0	O	62_Root
0	O	63_Root
0	O	64_Root
0	O	65_Root
0	O	66_Root
0	O	67_Root
0	O	68_Root
0	O	69_Root
0	O	70_Root
0	O	71_Root
0	O	72_Root
0	O	73_Root
0	O	74_Root
0	O	75_Root
0	O	76_Root
0	O	77_Root
0	O	78_Root
0	O	79_Root
0	O	80_Root
0	O	81_Root
0	O	82_Root
0	O	83_Root
0	O	84_Root
0	O	85_Root
0	O	86_Root
0	O	87_Root
0	O	88_Root
0	O	89_Root
0	O	90_Root
0	O	91_Root
0	O	92_Root
0	O	93_Root
0	O	94_Root
0	O	95_Root
0	O	96_Root
0	O	97_Root
0	O	98_Root
0	O	99_Root
0	O	100_Root
0.021402297622773	L	1_1
0.0850467244791347	D	19_1;19_2;19_3
0.222489663418754	D	89_1;89_2;89_3
0.24887509257324564	D	37_1;37_2;37_3
0.35152623360753577	P	2_1
0.3901377439503914	L	54_1
0.3943747023533537	L	79_1
0.47148578129156066	O	101_Root
0.5133147973257606	L	44_1
0.5136082541518653	L	23_1
0.5344165046724999	O	102_Root
