TIME	EVENT	NODES
1.9162722616960608	L	18_16
1.919878572423903	L	97_16
1.9240918866255061	L	53_14
1.9367684216022683	LT	n9;103_10;n9;103_14;n12;103_15
1.9830566988044507	LT	n9;35_10;n9;35_18;n5;35_19
1.9860872896741895	AT	n1;11_13;n1;11_22;n9;11_23
1.995077998703694	AT	n12;99_13;n12;99_16;n9;99_17
2.0307729780342028	L	57_14
2.0307729780342028	AT	n12;57_17;n12;57_22;n9;57_23
2.072225396726957	LT	n9;107_4;n9;107_10;n13;107_11
2.097307703940152	L	85_10
2.097307703940152	AT	n4;85_5;n4;85_16;n9;85_17
2.102601541548459	LT	n9;89_28;n9;89_40;n10;89_41
2.1557116379545103	L	60_10
2.1557116379545103	AT	n12;60_13;n12;60_16;n9;60_17
2.164791165620969	D	69_14;69_22;69_23
2.187080291770297	D	30_14;30_26;30_27
2.192493125254202	D	30_26;30_28;30_29
2.215194034822119	AT	n10;88_11;n10;88_16;n9;88_17
2.2246756903479583	L	90_12
2.2246756903479583	AT	n1;90_2;n1;90_18;n9;90_19
2.3934561878143397	LT	n9;86_10;n9;86_18;n4;86_19
2.394552986018544	LT	n9;69_23;n9;69_26;n1;69_27
2.4094004155867457	LT	n9;3_12;n9;3_20;n10;3_21
2.4307396957448524	LT	n9;109_4;n9;109_12;n10;109_13
2.4670104302573974	LT	n9;49_10;n9;49_20;n17;49_21
2.5040923757068803	AT	n4;71_5;n4;71_26;n9;71_27
2.5437585219777157	L	11_16
2.5510398739623943	LT	n9;97_14;n9;97_38;n19;97_39
2.5510631972234505	D	109_12;109_16;109_17
2.554485232761434	L	69_22
2.554485232761434	AT	n4;69_9;n4;69_36;n9;69_37
2.5923491725968377	AT	n16;85_19;n16;85_24;n9;85_25
2.6583480233722367	LT	n9;38_10;n9;38_24;n20;38_25
2.7109285001777987	LT	n9;30_28;n9;30_44;n19;30_45
2.759747692011212	LT	n9;88_17;n9;88_26;n18;88_27
2.762646592887217	O	125_n9
2.7806641696067933	AT	n18;13_23;n18;13_36;n9;13_37
2.8767161927543508	LT	n9;109_17;n9;109_20;n19;109_21
2.895853563648469	LT	n9;13_14;n9;13_48;n16;13_49
2.8987019454967395	LT	n9;105_4;n9;105_14;n24;105_15
