POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	3	+	1
1	4	-	1
2	5	-	1
3	6	-	1
4	7	-	1
5	8	-	1
6	9	-	1
7	10	+	1
8	2	-	1
9	11	-	1
10	12	+	1
11	13	+	1
12	14	-	1
13	15	+	1
14	16	-	1
15	17	-	1
16	18	+	1
17	19	-	2
18	102	-	1
19	19	-	3
20	20	+	1
21	21	+	1
22	22	+	1
23	24	-	1
24	25	-	1
25	26	+	1
26	27	-	1
27	28	-	1
28	29	+	1
29	30	+	1
30	31	-	1
31	32	-	1
32	33	-	1
33	34	+	1
34	35	+	1
35	36	+	1
36	37	-	2
37	37	-	3
38	38	-	1
39	39	-	1
40	40	+	1
41	41	+	1
42	42	-	1
43	43	+	1
44	45	+	1
45	46	+	1
46	47	-	1
47	48	+	1
48	101	-	1
49	49	+	1
50	50	+	1
51	51	-	1
52	52	-	1
53	53	+	1
54	55	+	1
55	56	-	1
56	57	+	1
57	58	+	1
58	59	+	1
59	60	-	1
60	61	+	1
61	62	-	1
62	63	-	1
63	64	-	1
64	65	-	1
65	66	-	1
66	67	-	1
67	68	-	1
68	69	+	1
69	70	-	1
70	71	+	1
71	72	+	1
72	73	+	1
73	74	-	1
74	75	-	1
75	76	-	1
76	77	-	1
77	78	-	1
78	80	+	1
79	81	+	1
80	82	+	1
81	83	+	1
82	84	+	1
83	85	-	1
84	86	+	1
85	87	+	1
86	88	+	1
87	89	+	2
88	89	+	3
89	90	-	1
90	91	-	1
91	92	+	1
92	93	+	1
93	94	-	1
94	95	+	1
95	96	+	1
96	97	+	1
97	98	-	1
98	99	-	1
99	100	+	1
