TIME	EVENT	NODES
0.5651162994026079	S	Root;n1;n2
0.8705487089928268	S	n2;n3;n4
0.9136120164185375	S	n3;n5;n6
1.8813788388702282	S	n6;n7;n8
1.911993857028475	S	n7;n9;n10
1.923694679252978	S	n8;n11;n12
1.9854867880629592	S	n11;n13;n14
2.225668125700548	S	n13;n15;n16
2.406050370324076	S	n5;n17;n18
2.502910948502324	S	n14;n19;n20
2.692185102669776	S	n1;n21;n22
2.7738261554119075	S	n4;n23;n24
2.7909555608888947	S	n21;n25;n26
2.9028419465601423	S	n15;n27;n28
2.9102591985123394	S	n22;n29;n30
2.9411721024977977	S	n9;n31;n32
2.9729747093130627	S	n28;n33;n34
3.0250122621232984	S	n18;n35;n36
3.0645693707283965	S	n32;n37;n38
3.146229668452691	F	n17
3.146229668452691	F	n25
3.146229668452691	F	n27
3.146229668452691	F	n26
3.146229668452691	F	n33
3.146229668452691	F	n35
3.146229668452691	F	n16
3.146229668452691	F	n38
3.146229668452691	F	n29
3.146229668452691	F	n10
3.146229668452691	F	n12
3.146229668452691	F	n23
3.146229668452691	F	n20
3.146229668452691	F	n34
3.146229668452691	F	n24
3.146229668452691	F	n30
3.146229668452691	F	n19
3.146229668452691	F	n37
3.146229668452691	F	n31
3.146229668452691	F	n36
