POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	4	-	16
1	6	-	14
2	7	-	20
3	103	-	16
4	8	-	14
5	9	-	16
6	10	+	14
7	39	-	24
8	2	-	20
9	11	-	20
10	13	+	18
11	19	-	28
12	102	-	16
13	43	+	18
14	45	+	14
15	19	-	30
16	20	+	16
17	21	+	20
18	22	+	14
19	24	-	16
20	25	-	16
21	26	+	20
22	28	-	16
23	28	-	17
24	29	+	14
25	30	+	22
26	30	+	24
27	31	-	14
28	32	-	14
29	33	-	14
30	34	+	18
31	35	+	23
32	36	+	22
33	36	+	26
34	37	-	32
35	37	-	34
36	38	-	14
37	71	+	18
38	105	-	8
39	39	-	26
40	40	+	16
41	41	+	14
42	42	-	14
43	14	-	30
44	46	+	16
45	47	-	14
46	48	+	30
47	48	+	32
48	101	-	14
49	49	+	14
50	89	+	34
51	50	+	14
52	51	-	14
53	52	-	14
54	53	+	18
55	55	+	14
56	56	-	28
57	57	+	18
58	56	-	26
59	58	+	14
60	59	+	14
61	60	-	14
62	61	+	14
63	62	-	16
64	63	-	14
65	64	-	14
66	65	-	14
67	66	-	16
68	67	-	14
69	68	-	14
70	69	+	18
71	70	-	16
72	14	-	32
73	15	+	18
74	16	-	16
75	17	-	16
76	109	+	8
77	18	+	26
78	72	+	20
79	73	+	14
80	74	-	16
81	75	-	14
82	77	-	20
83	78	-	14
84	80	+	14
85	42	-	17
86	82	+	14
87	83	+	16
88	84	+	14
89	100	+	27
90	85	-	14
91	86	+	14
92	100	+	22
93	87	+	14
94	88	+	14
95	89	+	39
96	90	-	16
97	91	-	16
98	92	+	16
99	93	+	14
100	107	+	11
101	94	-	14
102	95	+	14
103	96	+	18
104	97	+	24
105	97	+	26
106	98	-	14
107	99	-	14
108	110	-	8
109	100	+	24
